0,0,000000000000,000,Silence,élément esthétique indispensable !,— —,#808080 
1,0,000000000000,000,Matrice “vide”,évidence !,— —,#EE82EE 
2,1,100000000000,001,"Octave, 8ve",intervalle classique,Intervalles,#00FFFF 
3,1,100000000000,001,Unisson,intervalle classique,Intervalles,#00FFFF 
4,2,100000100000,"002-1
002-2","Onzième augmentée, 11#",intervalle classique,Intervalles,#00FFFF 
5,2,100000100000,"002-1
002-2","Quarte augmentée, 4#",intervalle classique,Intervalles,#00FFFF 
6,2,100000100000,"002-1
002-2","Quinte diminuée, 5b",intervalle classique,Intervalles,#00FFFF 
7,2,100000100000,"002-1
002-2",Triton,intervalle classique,Intervalles,#00FFFF 
8,2,100000010000,003-1,"Quinte juste, 5",intervalle classique,Intervalles,#00FFFF 
9,2,100001000000,003-2,"Onzième juste, 11",intervalle classique,Intervalles,#00FFFF 
10,2,100001000000,003-2,"Quarte juste, 4",intervalle classique,Intervalles,#00FFFF 
11,2,100000001000,004-1,"Sixte mineure, 6m",intervalle classique,Intervalles,#00FFFF 
12,2,100000001000,004-1,"Treizième mineure, 13b",intervalle classique,Intervalles,#00FFFF 
13,2,100010000000,004-2,"Dixième majeure, 10M",intervalle classique,Intervalles,#00FFFF 
14,2,100010000000,004-2,"Tierce majeure, 3M",intervalle classique,Intervalles,#00FFFF 
15,2,100000000100,005-1,"Septième diminuée, 7bb",intervalle classique,Intervalles,#00FFFF 
16,2,100000000100,005-1,"Sixte majeure, 6M",intervalle classique,Intervalles,#00FFFF 
17,2,100000000100,005-1,"Treizième majeure, 13",intervalle classique,Intervalles,#00FFFF 
18,2,100100000000,005-2,"Dixième mineure, 10m",intervalle classique,Intervalles,#00FFFF 
19,2,100100000000,005-2,"Neuvième augmentée, 9#",intervalle classique,Intervalles,#00FFFF 
20,2,100100000000,005-2,"Seconde augmentée, 2#",intervalle classique,Intervalles,#00FFFF 
21,2,100100000000,005-2,"Tierce mineure, 3m",intervalle classique,Intervalles,#00FFFF 
22,2,100000000010,006-1,"Septième mineure, 7",intervalle classique,Intervalles,#00FFFF 
23,2,101000000000,006-2,"Neuvième majeure, 9",intervalle classique,Intervalles,#00FFFF 
24,2,101000000000,006-2,"Seconde majeure, 2M",intervalle classique,Intervalles,#00FFFF 
25,2,100000000001,007-1,"Septième majeure, 7M",intervalle classique,Intervalles,#00FFFF 
26,2,110000000000,007-2,"Neuvième mineure, 9b",intervalle classique,Intervalles,#00FFFF 
27,2,110000000000,007-2,"Seconde mineure, 2m",intervalle classique,Intervalles,#00FFFF 
28,3,100010001000,"008-1
008-2
008-3",Augmenté,accord classique,Accords classiques,#008000 
29,3,100010001000,"008-1
008-2
008-3",Pyram E,accord extrapolé (géométrie quadrant),Accords extrapolés,#008000 
30,3,100010001000,"008-1
008-2
008-3","augm., aug., +",chiffrage harmonique tonal majeur,Accords tonals majeurs,#008000 
31,3,100001000100,009-1,7sus4(9) sans 1! ni 5,chiffrage harmonique neutre,Accords neutres,#008000 
32,3,100001000100,009-1,"7M,5# sans 1!",chiffrage harmonique tonal majeur,Accords tonals majeurs,#008000 
33,3,100001000100,009-1,m7 sans 1!,chiffrage harmonique tonal mineur,Accords tonals mineurs,#008000 
34,3,100001000100,009-1,Non-classé,—,—,#008000 
35,3,100010010000,009-2,Majeur “parfait”,accord classique,Accords classiques,#008000 
36,3,100010010000,009-2,M,chiffrage harmonique tonal majeur,Accords tonals majeurs,#008000 
37,3,100100001000,009-3,Non-classé,—,—,#008000 
38,3,100001001000,010-1,7sus4(9b) sans 1! ni 5,chiffrage harmonique neutre,Accords neutres,#008000 
39,3,100001001000,010-1,7M sans 1!,chiffrage harmonique tonal majeur,Accords tonals majeurs,#008000 
40,3,100001001000,010-1,"m7,5b sans 1!",chiffrage harmonique tonal mineur,Accords tonals mineurs,#008000 
41,3,100001001000,010-1,Non-classé,—,—,#008000 
42,3,100010000100,010-2,Non-classé,—,—,#008000 
43,3,100100010000,010-3,Mineur “parfait”,accord classique,Accords classiques,#008000 
44,3,100100010000,010-3,m,chiffrage harmonique tonal mineur,Accords tonals mineurs,#008000 
45,3,100000100100,011-1,7 sans 1!,chiffrage harmonique tonal dominante,Accords tonals dominante,#008000 
46,3,100000100100,011-1,7(9b) sans 1! ni 5 • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#008000 
47,3,100000100100,011-1,Non-classé,—,—,#008000 
48,3,100100000100,011-2,Pyram C,accord extrapolé (géométrie quadrant),Accords extrapolés,#008000 
49,3,100100100000,011-3,Diminué,accord classique,Accords classiques,#008000 
50,3,100100100000,011-3,"dim, °",chiffrage harmonique tonal mineur,Accords tonals mineurs,#008000 
51,3,100001000010,012-1,7M(11#) sans 1! ni 5 • lydien,chiffrage harmonique modal majeur,Accords modaux majeurs,#008000 
52,3,100001000010,012-1,7M(13) sans 1! ni 5,chiffrage harmonique tonal majeur,Accords tonals majeurs,#008000 
53,3,100001000010,012-1,m7(11) sans 1! ni 5,chiffrage harmonique tonal mineur,Accords tonals mineurs,#008000 
54,3,100001000010,012-1,Non-classé,—,—,#008000 
55,3,100001010000,012-2,Suspendu quarte,accord classique,Accords classiques,#008000 
56,3,100001010000,012-2,Pyram D,accord extrapolé (géométrie quadrant),Accords extrapolés,#008000 
57,3,100001010000,012-2,sus4,chiffrage harmonique neutre,Accords neutres,#008000 
58,3,101000010000,012-3,Non-classé,—,—,#008000 
59,3,100000100010,013-1,7(13b) sans 1! ni 5 • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#008000 
60,3,100000100010,013-1,7(9) sans 1! ni 5,chiffrage harmonique tonal dominante,Accords tonals dominante,#008000 
61,3,100000100010,013-1,Non-classé,—,—,#008000 
62,3,100010100000,013-2,Non-classé,—,—,#008000 
63,3,101000001000,013-3,Non-classé,—,—,#008000 
