id,nbSons,enonce,rang,nomenclature,origine,origineAnnexe,couleur,musicalite,geometrie
0,0,000000000000,000,Silence,élément esthétique indispensable !,— —,#808080 ,—,—
1,0,000000000000,000,Matrice “vide”,évidence !,— —,#9C2B86 ,—,—
2,1,100000000000,001,"Octave, 8ve",intervalle classique,Intervalles,#00FFFF ,"IDÉ
ATR
ANH
PAL",
3,1,100000000000,001,Unisson,intervalle classique,Intervalles,#00FFFF ,"IDÉ
ATR
ANH
PAL",
4,2,100000100000,"002-1
002-2","Onzième augmentée, 11#",intervalle classique,Intervalles,#00FFFF ,"ATO
ATL
PAL
IDÉ
ANH","PAN
"
5,2,100000100000,"002-1
002-2","Quarte augmentée, 4#",intervalle classique,Intervalles,#00FFFF ,"ATO
ATL
PAL
IDÉ
ANH","PAN
"
6,2,100000100000,"002-1
002-2","Quinte diminuée, 5b",intervalle classique,Intervalles,#00FFFF ,"ATO
ATL
PAL
IDÉ
ANH","PAN
"
7,2,100000100000,"002-1
002-2",Triton,intervalle classique,Intervalles,#00FFFF ,"ATO
ATL
PAL
IDÉ
ANH","PAN
"
8,2,100000010000,003-1,"Quinte juste, 5",intervalle classique,Intervalles,#00FFFF ,"QUI
NEU
IDÉ
ATR
ANH",TRS
9,2,100001000000,003-2,"Onzième juste, 11",intervalle classique,Intervalles,#00FFFF ,"IDÉ
ATR
ANH",TRS
10,2,100001000000,003-2,"Quarte juste, 4",intervalle classique,Intervalles,#00FFFF ,"IDÉ
ATR
ANH",TRS
11,2,100000001000,004-1,"Sixte mineure, 6m",intervalle classique,Intervalles,#00FFFF ,"ATO
CAD
TRP
IDÉ
ATR
ANH","PAN
"
12,2,100000001000,004-1,"Treizième mineure, 13b",intervalle classique,Intervalles,#00FFFF ,"ATO
CAD
TRP
IDÉ
ATR
ANH","PAN
"
13,2,100010000000,004-2,"Dixième majeure, 10M",intervalle classique,Intervalles,#00FFFF ,"ATO
CAD
TRP
IDÉ
ATR
ANH","PAN
"
